h1;kat;obyav;rol;img;gal;pol;orientaciya;znakomstva
Интим без обязательств;Секс знакомства / Ищу мужчину ( не коммерция );Ищу мужчину от 40, для встреч и интима. Мне 31 и я замужем, поэтому отношения не интересуют - только хороший, страстный секс.<br />От тебя: желание удовлетворять, не быть толстым, соблюдение гигиены и конфиденциальность. <br />В постели люблю многое, кроме бдсм );;;;2;4;1
Ищу любовника;Секс знакомства / Ищу мужчину ( не коммерция );Мне 28, стройная, невысокая блондинка ( рост 162, вес 48), хотелось бы найти партнера для постоянных встреч, 3-4 раза в неделю. Интересуют интимные встречи и  дружеское общение. Мне нравится доставлять и получать удовольствие в сексе, но кроме секса хочется просто поговорить или прогуляться. Серьезные отношения не интересуют, только дружба и интим меня устраивают.;;;;2;4;1
Массаж который приносит только удовольствия;Эротический массаж / Массаж от девушек;Я молодая и красивая девушка. С большим потенциалом..)) Такое удовольствие от массажа ты еще не получал. Приезжай для получения массы удовольствия!!! Я открою тебе второе дыхание и мы вместе поищем твою точку G ! Жду малыш..***;;files/tb_fbbbc02d92d04b176369119899ed6fba_7_1.jpg;files/tb_fbbbc02d92d04b176369119899ed6fba_7_2.jpg,files/tb_fbbbc02d92d04b176369119899ed6fba_7_3.jpg;2;4;1
Эротический массаж для мужчин/женщин/пар. Массаж в четыре руки;Эротический массаж / Массаж от девушек;Привет <br />Приглашаю тебя на чувственный эротический массаж <br />Работаю у метро ЯСЕНЕВО,в своей уютной квартире,кроме нас никого не будет<br />Опыт работы 1,5 года, имею хорошие отзывы)<br />Цены на мои услуги начинаются от 3000 час,так же есть программа на пол часика,только эротика 2000<br />Без интима <br />Фото мои <br />Одна выезжаю только в гостиницы, от 7000<br />Так же есть возможность пригласить мужчину массажиста,для массажа в 4 руки или для массажа твоей даме<br />На звонки отвечаю сама WhatsApp/Viber;;files/tb_18b853a92ec30e8532056eae73c23858_7_2.jpg;files/tb_18b853a92ec30e8532056eae73c23858_7_1.jpg,files/tb_18b853a92ec30e8532056eae73c23858_7_0.jpg,files/tb_18b853a92ec30e8532056eae73c23858_7_3.jpg;2;4;1
Страстная, пылкая, обожаю секс и деньги;Эротический массаж / Массаж от девушек;три красотки..от 22 до 30 лет.. Сексапильные... Страстные.. Умеющие ублажать мужчин.. ждут твоего звоночка... пиши или звони только вотсап;;files/tb_8363a0851dce8c6c794d02c50054012c_7_1.jpg;files/tb_8363a0851dce8c6c794d02c50054012c_7_2.jpg,files/tb_8363a0851dce8c6c794d02c50054012c_7_3.jpg,files/tb_8363a0851dce8c6c794d02c50054012c_7_4.jpg;2;4;1
Ника(приеду в гости);Эротический массаж / Массаж от девушек;Сделаю мужчине хороший массаж за 2500р.<br />(есть доп.услуги за отдельную оплату)<br />Ночь-8000р.<br />Встреча у вас или нейтральная территория.<br />Условия по тел.;;files/tb_b32fc1c8b25a2bea6be3348638117009_7_1.jpg;files/tb_b32fc1c8b25a2bea6be3348638117009_7_2.jpg,files/tb_b32fc1c8b25a2bea6be3348638117009_7_3.jpg;2;4;1
Шугаринг / Воск / Массаж / Депиляция;Эротический массаж / Массаж от девушек;"Привет, меня зовут Светлана.  <br />Я мастер со стажем. Brazilian waxing интимная депиляция мужчины и женщины.  Уютный домашний кабинет м. Марьина роща (3мин) , душ ,одноразовые аксессуары. Приятная обработка бикини после процедуры! <br />Массаж релакс , урология , массаж ануса, ягодиц , простаты, лингама. <br />В моих руках вы получите полное расслабление.<br />Глубокое бикини воск/сахар - 1500 + массаж 1000<br />Подмышки - 400<br />Массаж программа &quot;мужское здоровье&quot; (1 час) - 3000<br />30-40 минут - 2000<br /><br />Мужчины! С пониманием и без осуждения отношусь если вы будете в чулках, в женском белье или в образе.<br />Звоните , можно писать в WhatsApp.";;files/tb_3d75ee996fd15477134ad8e9dd698ebf_7_1.jpg;files/tb_3d75ee996fd15477134ad8e9dd698ebf_7_2.jpg;2;4;1
Подарю наслаждение;Эротический массаж / Массаж от девушек;Высокая красивая массажистка с опытом работы сделает профессиональный классический массаж и с помощью техник эротического массажа и с помощью своего стройного тела доставит массу удовольствия на сеансе эротического массажа.<br />Доставлю наслаждение обеспеченному мужчине. Смогу удовлетворить любые фантазии и даже больше!<br />Вечер в моей компании будет незабываемым.;;;;2;4;1
Эротический Массаж;Эротический массаж / Массаж от девушек;Приглашу на незабываемый массаж всего тела . Одноразовые принадлежности , музыка , чай ) уйдёте от меня довольные );;;;2;4;1
Приглашаю мужчин;Эротический массаж / Массаж от девушек;"Привет! Приглашаю тебя в гости на эротический массаж. У меня уютные и чистые апартаменты. Расслаблю тело и заряжаю положительными эмоциями!<br />В сеанс включено:<br />Вкусный кофе и чай с конфетами;<br />Душ;<br />Одноразовые тапочки;<br />Одноразовые простыни;<br />Полотенца<br />Эротическ ий массаж.";;;;2;4;1
Эротический массаж для женщин;Эротический массаж / Массаж от мужчин;Москва. Я молодой, красивый славянин. Мои параметры 22/180/64/17. Аккуратный, чистоплотный, вежливый. Не глуп, хорошие манеры, поддержу беседу, выслушаю и приласкаю. К каждой девушке ищу свой подход. <br />Сделаю чувственный и горячий эротический массаж<br />Доведение до сквирта<br />Возможно продолжение<br />Живу в районе Ясенево, выезд по всей Москве.<br /><br />whatsapp/viber;;files/tb_e8123f3d3b60f81d0c8ce5a133f9545b_7_1.jpg;files/tb_e8123f3d3b60f81d0c8ce5a133f9545b_7_2.jpg,files/tb_e8123f3d3b60f81d0c8ce5a133f9545b_7_3.jpg,files/tb_e8123f3d3b60f81d0c8ce5a133f9545b_7_0.jpg,files/tb_e8123f3d3b60f81d0c8ce5a133f9545b_7_4.jpg;1;1;1
Требуется модель для массажа;Эротический массаж / Массаж от мужчин;Требуется молодая стройная девушка для отработки техники Релакс массажа. Русский молодой симпатичный мужчина. Анонимность и порядочность гарантирую. С меня оплата.;;;;1;1;1
Приглашаю на отличный эротический массаж;Эротический массаж / Массаж от мужчин;Ищу девушек для эротического массажа, давно в теме, но непрофессионально, поэтому бесплатно. Возможен выезд. Удовольствие гарантирую.;;files/tb_70fe4b7d109c4ebb78354bf75cddd5be_7_1.jpeg;;1;1;1
Массаж для женщин;Эротический массаж / Массаж от мужчин;Добрый день!<br />С удовольствием сделаю классический, эротический массаж девушке бесплатно. Расслабитесь по полной программе. Возможно многое другое по обоюдному желанию.<br /><br />О себе: рост 170 см., худой, 29 лет, русский. Живу в Москве.<br /><br />Можно писать также на почту maks-evn@mail.ru;;files/tb_e156ae5fb1c807c388580f424409e3d6_7_1.jpg;;1;1;1
Эротический массаж и кунилингус;Эротический массаж / Массаж от мужчин;Приглашу девушку, женщину на сеанс эротического массажа, сделаю классный кунилингус. Мне 58 лет, москвич, русский. Встречи, желательно на длительный срок, но можно и разово. Пишите, отвечу всем;;;;1;1;1
Эротический массаж для девушек и сем.пар;Эротический массаж / Массаж от мужчин;Массаж для девушек и семейных пар.Мужчинам массаж не делаю (извините)<br />Массаж для девушек с доведением до оргазма(сквирт).<br />Я привлекательный ,внимательный массажист,знаю и чувствую чего хочет девушка.Опыт в данной сфере более 5 лет.Окончил курсы восточного,тантрического и эротического массажа за границей!<br />Пригласите меня на массаж и убедитесь в этом сами!;;files/tb_8c80130298cf82e8b70ed284947aeb3c_7_1.jpg;files/tb_8c80130298cf82e8b70ed284947aeb3c_7_2.jpg,files/tb_8c80130298cf82e8b70ed284947aeb3c_7_3.jpg,files/tb_8c80130298cf82e8b70ed284947aeb3c_7_4.jpg,files/tb_8c80130298cf82e8b70ed284947aeb3c_7_5.jpg;1;3;1
массаж босых ног язычком молодому парню с продолжением;Эротический массаж / Массаж от мужчин;пока ты лежишь и смотришь порно - как дерут тёлок, я буду ласкать язычком твои босые ноги, даже если они слегка потные. У тебя встаёт и ты босыми ногами обхватываешь мою голову, сжимаешь её с силой и подтягиваешь к твоим яйцам. Я покорно погружаюсь лицом в твои ноги, облизываю их и твои яйца. Я нежно язычком обласкаю твою твёрдую залупу, покрывая её поцелуями и вдыхая её дивный запах. Ты берёшь мою голову своими сильными руками и насаживаешь её, начиная превращать мой рот во влагалище, чтобы вскоре впрыснуть мне в рот твой сок, твой терпкий кисель, протолкнуть его в горло членом, чтобы я всё проглотил... твои ноги вбивают мне в губы твой член, вгоняют его весь в меня и ты начинаешь иметь меня в рот, кидая первую палку жестко и жадно... приму унижения, золотой дождь мне в рот и на лицо от парня-натурала;;files/tb_a00c4b8e12120a535152a247810a3fed_7_1.jpg;files/tb_a00c4b8e12120a535152a247810a3fed_7_2.jpg,files/tb_a00c4b8e12120a535152a247810a3fed_7_3.jpg,files/tb_a00c4b8e12120a535152a247810a3fed_7_4.jpg,files/tb_a00c4b8e12120a535152a247810a3fed_7_5.jpg;1;2;1
Фото Видео Вирт;virt;Классная пышка с широкими бедрами, талией и пышной грудью, страстно повирчу с тобой) <br />Так же продаю свои архивные фото и видео материалы, сниму на заказ)<br /><br />Skype: Priroda Irina<br />Почта: irina_priroda_irina@mail.ru;;files/tb_fe354a8125f676877accd96bb102a751_7_1.jpeg;files/tb_fe354a8125f676877accd96bb102a751_7_2.jpeg,files/tb_fe354a8125f676877accd96bb102a751_7_3.jpeg;2;4;1
Виртик Вотцап, Вайбер;virt;Девушка с хорошими формами, мне 39 лет, обожаю ласкать свою грудь и показывать свои дырочки на камеру. Завожусь от вида твоего члена. Виртик 5 мин 300, 10 мин 400, 15 мин 600,20 мин 800,30 мин 1000. Фото 15 шт 200(крупный план киски), 15 шт фото 200 Видео 5 мин 300(мастурбация киски крупный план) Предпоказ 80 топлес , 120 голенькая. Мужчины жду Вас !!! ,Whatsapp, 89192293308 скайп  live:.cid.bb4ffb171c80d0e2;;files/tb_7e5c90dd4b1892a8f7e39a1a5429644b_7_0.jpg;;2;4;1
вирт Viber Telegram  WhatsApp;virt;Игрушки - фаллы , страпон, наручники, зажимы, плеть, гинеколог.зеркало , шарики , помпа. Костюмы - медсестра ,горничная , школьница , госпожа , секретарь. Предпоказ 2 вида - покажу игрушки , предпоказ голой . Камера HD. Показываю вирт с лицом , все подробности в скайпе     live:anna.1345   Секс по телефону Билайн  Viber Telegram  WhatsApp   +79635429669  Меня можно узнать по номеру телефона билайн  ижевск  +7963-542-9669  на него я принимаю оплату. Переписка на интим темы.Фото.Видео.;;files/tb_004e9f8736ffd5c19b9861f5b9a0762a_7_1_720.jpg;files/tb_004e9f8736ffd5c19b9861f5b9a0762a_7_2_721.jpg,files/tb_004e9f8736ffd5c19b9861f5b9a0762a_7_3_722.jpg,files/tb_004e9f8736ffd5c19b9861f5b9a0762a_7_4_723.jpg,files/tb_004e9f8736ffd5c19b9861f5b9a0762a_7_5_725.jpg;2;4;1
Секс ватсап / вайбер;virt;В классическом вирте у меня стриптиз, ласки пальчиками и игрушками.<br />в дополнениях - секс с мужчиной, Автоматическая СЕКС-МАШИНА, Секс с реалистической куклой, кончающий член, секс с мужским торсом, анал, двойное проникновение, тройное, доминация, ролевые игры, огромные игрушки, золотой дождик,сквирт, бутылка, фистинг,<br />БДСМ - порка плёткой, игры с воском, зажимы, электрошокер анально-вагинальный, распорки, гинекологическое зеркало, наручники и охмибод Lovense - управляй мной со своего телефона. Физическое и моральное унижение, психологическое доминирование, сценарии на тему Cuckold, страпон, Foot Fetish, трамплинг, nipple play, порка, pussy licker (принуждение к вылизыванию Госпожи), контроль оргазма. Доминирую, властвую, унижаю, в моих руках ты почувствуешь себя шлюшкой, а также оргазм под мой счёт, анальные игры с различными предметами под мои команды.;;files/tb_ffcf33f289f30f93981626111787b12f_7_1_726.jpg;files/tb_ffcf33f289f30f93981626111787b12f_7_2_728.jpg,files/tb_ffcf33f289f30f93981626111787b12f_7_3_730.jpg,files/tb_ffcf33f289f30f93981626111787b12f_7_4_732.jpg,files/tb_ffcf33f289f30f93981626111787b12f_7_5_734.jpg;2;4;1
Секс по телефону;virt;Ого, я вроде, уже мокренькая от своих сексуальных фантазий.<br />Стыдно, что я сейчас придумала...Я честно сама веду себя как сучка . Всё время хочется. Это плохо? У меня здесь много разных игрушек.<br />Ни у кого из наших девчонок столько нет. Звони мне и мы обязательно с тобой поиграем в мои игрушки, ты не пожалеешь;;files/tb_f9bf09e0c0dddf61e2443e3cc0034b71_7_1.jpg;;2;4;1
Шалю голенькая Whatsapp;virt;Я пышка.Общение 18+по ведеосвязи.Предпоказ.Шалю голенькая есть игрушки.Готова на виртуальный разврат.Мой Whatsapp,Viber 89521558125;;files/tb_0077ffd7272d1a82f475d74694bc8651_7_1.jpg;;2;4;1
Шалю голенькая.;virt;Я пышка, размер груди 4. Шалю по видеосвязи без комплексов, есть костюмчики игрушки, постараюсь исполнить ваши виртуальные фантазии! Есть готовая коллекция фото, видео. Жду будет жарко :) Мой WhatsApp, Viber 8952155 8125;;files/tb_030b718345d5b1394ccd1eeda5d022cc_7_1.jpg;files/tb_030b718345d5b1394ccd1eeda5d022cc_7_2.jpg,files/tb_030b718345d5b1394ccd1eeda5d022cc_7_3.jpg,files/tb_030b718345d5b1394ccd1eeda5d022cc_7_4.jpg;2;4;1
Шалунья Лола с 5 размером Сисечек!!Фото Видео На заказ!Шоу в скайпе!;virt;Скайп live:.cid.5b21e2094fb1546a Viber +79034310805<br />Страстная, с пышными сладкими формами и темпераментная . Во мне одни сплошные достоинства, которые ты просто обязан испытать на деле.Я жду тебя на горячий Вирт !!!Также записываю Видео и Фото на заказ..Есть готовая золотая коллекция Видео с приятными скидочками и подарками !!!Пишите Мальчики !!Все фантазии реальны со мной!)<br />Скайп live:.cid.5b21e2094fb1546a Viber +79034310805;;files/tb_745ddb705bf12828644e367df182486c_7_1.jpg;files/tb_745ddb705bf12828644e367df182486c_7_2.jpg,files/tb_745ddb705bf12828644e367df182486c_7_3.jpg;2;4;1
Фап или обмен интимом;virt;Крч хочу подрочить с кем то возможно на постоянной основе(фап в скайпе или телеграмме)<br />Возможны встречи для взаимных минетов<br />Писать на почту tupodlyavirta@mail.ru;;;;1;3;1
Страстный вирт от ненасытной развратницы;virt;"Проведу увлекательную сексуальную беседу со страждущим острых и пикантных ощущений мужчиной,<br />и доставить себе чувственные наслаждения под руководством нескромной прелестницы...<br />Помогу раскрепоститься и почувствовать себя на пике удовольствий!<br />Любые грязные фантазии без цензуры возможны со мной,<br />ведь об этом никто не узнает!<br />Для стеснительных и скучающих на работе - страстная смс- и e-mail-переписка, общение по Viber, WhatsApp, Для тебя я могу быть ласковой или стервозной, грубой; могу сразу лечь под тебя под твоим напором или оказать и сопротивление. Могу, в конце концов, и тебя трахнуть, унизив, как последнюю шлюху! Но всё равно, – мы кончим вместе! После меня – другую не захочешь. Желаешь проверить? Просто напиши мне на WhatsApp, Viber или Telegram 89156727506 в любое время";;files/tb_6bd7b2d8977ac788e37914710e4612ef_7_1.jpg;files/tb_6bd7b2d8977ac788e37914710e4612ef_7_2.jpg,files/tb_6bd7b2d8977ac788e37914710e4612ef_7_3.jpg;2;4;1
Ищу виртуалочку, кидальщиц прошу не беспокоить.;virt;Всем привет! Ищу виртуальную девочку для совместного общения и покупки у нее фото и видео, так же возможно общение по видео. Прошу не кидать. Сам честен и оплачиваю.;;;;1;3;1
Вирт по скайпу. Кончаю реально;virt;Вирт по скайпу. Кончаю реально, сквирт, мастурбация, анал, двойное, фистинг, игрушки, зд, ролевые. 600р сеанс 20 мин.500р-15мин, 350р-10мин.<br />Скайп  live:oxxiana22;;files/tb_ca608e0b2bf279f931e3bc6ca3949f9a_7_1.jpg;;1;3;1
Вирт по скайпу, пошалим.;virt;Показываю по камере. Мастурбация с игрушками, анал с игрушками, стриптиз, фистинг, оргазм, сквирт, доминация. Могу многое. Жду в скайпе live:katyloves26<br />15 минут 500р, 30 мин 800р;;files/tb_8847c0be99f579f111892dcca6b135b1_7_1.jpg;;2;4;1
Секс по телефону;virt;Предлагаю виртик со мной. Viber или WhatsApp, 10 минут - 100 рублей, поговорим о чем захочешь. Оплата киви, яндекс или на телефон.;;files/tb_de69b488abb4b7a700c3fd6f6848af2f_7_1.jpg;files/tb_de69b488abb4b7a700c3fd6f6848af2f_7_2.jpg;2;4;1
Виртик с горячими фото;virt;Горячая и девушка с шикарными формами подарит наслаждение от сладкого вирта. за подробностями пишите в ЛС или на почту katekate9595@yandex.ru не дорого;;files/tb_fe6ee8314bc56a6a35ca143cd241ec0e_7_1.jpg;files/tb_fe6ee8314bc56a6a35ca143cd241ec0e_7_2.jpg,files/tb_fe6ee8314bc56a6a35ca143cd241ec0e_7_3.jpg;2;4;1
Шикарный вирт с реальной девушкой в скайпе, вотсапе или вк;virt;Привет! Давай займемся шикарным виртиком?<br />Воплотим все твои фантазии, буду делать все что пожелаешь (мастурбация, стриптиз, анал, сквирт, могу с подругой, есть много красивого белья и так далее), признаюсь, особенно люблю в попу)<br />Также могу делать для интим фото и видео, архив или по твоему сценарию, какие пожелаешь)<br />Пиши мне тут или связывайся со мной по почте: <br />tt13524@mail.ru<br />Договоримся о цене(недорого);;files/tb_0cfbc6349122f4e2696ef1ff537f7505_7_1.jpeg;files/tb_0cfbc6349122f4e2696ef1ff537f7505_7_2.jpeg,files/tb_0cfbc6349122f4e2696ef1ff537f7505_7_3.jpeg,files/tb_0cfbc6349122f4e2696ef1ff537f7505_7_4.jpeg;2;4;1
Развратная семейная пара,покажем секс,писинг и т.д.,по видео звонку в ватсапе,вайбере или телеграмме;virt;Развратная семейная пара Оля 29/165/49 кг стройная красивая шатенка с длинными волосами любящая все виды секса,Андрей 40/182/90/18*5.<br />Повиртим в переписке или по видео.Ватсап,Вайбер,телеграмм 89162650033;;files/tb_e96452c8f3782377be77ccc3e944e84d_7_1.jpg;files/tb_e96452c8f3782377be77ccc3e944e84d_7_2.jpg,files/tb_e96452c8f3782377be77ccc3e944e84d_7_3.jpg,files/tb_e96452c8f3782377be77ccc3e944e84d_7_4.jpg,files/tb_e96452c8f3782377be77ccc3e944e84d_7_5.jpg;3;;
Вирт в skype live:.cid.b2e0be3810b9d77;virt;Да,я зрелая женщина, мне 36,но друзья,о достоинствах секса со зрелой женщиной,говорить наверное особо не стоит?)) Мужчины понимают,что это и с чем его едят,тем более,<br />если эта зрелая женщина,еще и хороша собой, ухоженная и следит за своей фигурой и телом! Умение наслаждаться сексом и способность полностью отдаваться<br />,«Да» значит – «да»,и в омут с головой на момент встречи,способность быть благодарной,умение приводить в готовность «боевое оружие»,забота о своем женском<br />здоровье и Отсутствие каких-либо обязательств...-это то,что гарантированно получает мужчина в постели со зрелой женщиной..так что-Велкам тем,кто способен<br />это оценить и не прочь в этом убедиться!!  Немного моих фото из последнего. С ебучей Нежностью к вам буду рада познакомиться!! ))<br />и P.S.Прическа на интимном месте-это святое. Лобок не сбриваю никогда,ну а ниже-чаще гладко,чем нет)) Так что любителям полностью гладкой пиз...нки,однозначно не сюда...<br />Да,мне важен размер члена,но как чаще всего бывает,верх всегда берет-размер мозга,и умение женщину очаровать и заинтересовать) И вот тут я всегда делаю выбор в пользу Мозга,а не писюна.Не могу устоять против Умных мужчин,с Большим Мозгом,даже если у них маленькие писюны) Все же рулит Мозг,а не Х...Факт!<br />Я та, которую ты искал! Настоящая фантазёрка! Раскроем мой и твой потенциал? Ты старше 21 года? Если да, то добавляйся  в МОЙ ЕДИНСТВЕННЫЙ СКАЙП  live:.cid.b2e0be3810b9d77     ДРУГИХ НЕТ! Договоримся.<br />Чат/ Аудиозвонок/ Webсamera/ Секс-игрушки<br />Договоримся!<br />DMSA;;files/tb_787bc5bd75c0709b0429b0a8ddc60905_7_1.jpg;files/tb_787bc5bd75c0709b0429b0a8ddc60905_7_2.jpg,files/tb_787bc5bd75c0709b0429b0a8ddc60905_7_3.jpg,files/tb_787bc5bd75c0709b0429b0a8ddc60905_7_4.jpg,files/tb_787bc5bd75c0709b0429b0a8ddc60905_7_5.jpg;2;4;1
Скайп мастурбация;virt;мастурбация, Анал, двойное, глубокий минет с игрушкой, фистинг, стриптиз, золотой дождь, крупные планы, все с игрушками. Предпоказ делаю! 800р 30 минут. Мой скайп diana19891217<br />Диана;;files/tb_627d6972f3d8bbdc3a269998ab76fbd5_7_1.jpg;;2;4;1
Virtik s kisyli4koi;virt;горячая /страстная /развратная /ненасытная /киска хочет разврата. 18+ <br />Переписка на любую тему. Фантазия или реальные истории. фото и видео на различную тематику. Готовые и под заказ.<br /><br />Скайп https://join.skype.com/invite/j THGqtJXxkpo<br />Вставь ссылку в браузер и прямо попадёшь ко мне;;files/tb_b4af0c8f591b9e7a1d92c123278dad9f_7_1_894.jpeg;files/tb_b4af0c8f591b9e7a1d92c123278dad9f_7_2_896.jpeg,files/tb_b4af0c8f591b9e7a1d92c123278dad9f_7_3_897.jpeg,files/tb_b4af0c8f591b9e7a1d92c123278dad9f_7_4_898.jpeg,files/tb_b4af0c8f591b9e7a1d92c123278dad9f_7_5_899.jpeg;2;4;1
Сладкий оргазм от пошлой мылышки;virt;Привет мальчики! Предлагаю вирт за вознаграждение (ласки, игрушки, фетиш и т.п), а так же фото, видео и ношенное белье на продажу! <br />В мою программу входит: сладкие стоны, анал, вагинал, орал(можно со слюнками), игрушка между грудей, анальные шарики, 2 вида анальных пробок, двойное проникновение (шарики или пробка в попке и член в киске, член во рту и член в киске). Трусики в киску, попку. Бутылочка. Золотой дождь. Подчинение. Мульти вибратор. Клиторальный стимулятор. Одень на меня наручники, свяжи веревкой! Покажу и примерю для тебя всю свою коллекцию белья,одежды.Легкий стрип. Жду вас развратники, пишите WhatsApp, Viber, Telegram 89156727506;;files/tb_6de2d5d5aeded0990901eb2284da31fd_7_1_900.jpg;files/tb_6de2d5d5aeded0990901eb2284da31fd_7_2_901.jpg;2;4;1
Whatsapp, viber вирт, секс по тел;virt;Откровенные разговоры на любые темы мальчики: воплощу в реальность все ваши эро фантазии. Вирт по видеозвонку с игрушками, переписка с фото , по тел и вашему сценарию. Могу быть жёсткой и властной госпожей, рабыней, практикую темы Куколд и Сексвайф. Золотой дождь и темы Бдсм в онлайне, а также личные ню фото и видео с моим участием на заказ: фистинг, сквирт, с парнем, золотой дождь, стриптиз с продолжением, и многое другое на ваш вкус!  Пишите WhatsApp, Viber, Telegram 89156727506 в любое время, жду шалунишек);;files/tb_cff67e15e4f38f99749b7fb079956698_7_1.jpg;files/tb_cff67e15e4f38f99749b7fb079956698_7_2.jpg;2;4;1
Приятный разговор на развратные темы;virt;Откровенное и развратное регулярное платное общение в Телеграм, если интересует туалетная тематика - ты ежедневно можешь посещать со мной туалет, слушать золотой дождик или будем общаться в это время на темы: мастурбация, куни-анилингус, подглядывание, писсинг, копро, фейсситтинг, фейсфартинг, лесби, туалетные игры, подтирание/подмывание после туалета, школьный туалет, инцест, ролевые игры, мед фетиш(осмотр гинеколога, проктолога, клизмы), анальный секс и анальная мастурбация, нижнее белье, прокладочки и др.;;files/tb_a6d2f9d844ec5adc5473a22639e0e21d_7_1_904.jpg;;2;4;1
Познакомлюсь с ДЕВУШКАЙ (женщинай)для виртуального секса;virt;Познакомлюсь с девушкой (женщиной) любительницей  помастурбировать по телефону ,<br /> . Не коммерция.я30/182/78.русский ,адекватный молодой человек, с приятным голосом и внешностью.звоните познакомимся поближе!все конфидециально!Только Девушки!;;files/tb_0a41a73a0204c8c76ac92ed6bbc345a2_7_1.gif;files/tb_0a41a73a0204c8c76ac92ed6bbc345a2_7_2.gif;1;3;1
Сделаю минет;Гей знакомства;Сделаю минет в твоем авто, может даже больше. Пишите на сйте. Хочу встретиться сегодня вечером или в ближайшие дни. Не комерция.;Пассив;;;1;2;1
Ищу русского актива (желательно на постоянку) сосу, даю в попку, подчиняюсь;Гей знакомства;пас 24.190.84.17 места нет!! Ищу русского актива (желательно на постоянку) с членом не меньше моего, я очень люблю сосать медленно и нежно, лижу яйца и попу, приемлю подчинение, грубость + твои желания. Не против экспериментов) Для любителей послушной соски! Сперму глотаю. В попу трахали один раз и хочу ещё!! Здоров и чистоплотен. Пиши на почту, не коммерция ! antidantist@mail.ru;Пассив;files/tb_34c4fe1b0a8aa727ad560c7959a52818_7_1.jpg;files/tb_34c4fe1b0a8aa727ad560c7959a52818_7_2.jpg,files/tb_34c4fe1b0a8aa727ad560c7959a52818_7_3.jpg,files/tb_34c4fe1b0a8aa727ad560c7959a52818_7_4.jpg;1;2;1
сделаю минет молодому парню;Гей знакомства;Москва, место есть: м. Рижская <br />отсосу вечером или ночью, могу сосать до утра, <br />ты лежишь и смотришь порно - как прут тёлок, а я ласкаю язычком твои босые ноги, даже если они чуть-чуть потные. Когда у тебя встаёт и ты босыми ногами обхватываешь мою голову, сжимаешь её с силой и подтягиваешь к твоим яйцам. Когда я покорно погружаюсь лицом в твои ноги, облизываю их и твои яйца. Когда я нежно язычком ласкаю твою твёрдую головку, покрываю её поцелуями и вдыхаю её дивный запах. Когда ты берёшь мою голову своими сильными руками и насаживаешь её на него, начинаешь превращать мой рот в вагину, а твои ноги вбивают мне в губы твой член, вгоняя его весь в меня, когда ты начинаешь драть меня в рот, как тёлку в вагину, кидая первую палку жестко и жадно, чтобы вскоре впрыснуть мне в рот твой сок, твой терпкий кисель, протолкнуть его в горло членом, заставляя меня всё проглотить...;Пассив;files/tb_904a73188ce1a74e6d471c1c6c2772e0_7_1.jpg;files/tb_904a73188ce1a74e6d471c1c6c2772e0_7_2.jpg,files/tb_904a73188ce1a74e6d471c1c6c2772e0_7_3.jpg,files/tb_904a73188ce1a74e6d471c1c6c2772e0_7_4.jpg,files/tb_904a73188ce1a74e6d471c1c6c2772e0_7_5.jpg;1;2;1
Ищу актива;Гей знакомства;Пассив волосатый. Взрослый. Южных кровей, ВО. Адекватно реагирую на окружающий мир.<br />Живу в Щелково, работаю в Москве. <br />Ищу актива с хорошим...;Пассив;;;1;2;1
Орехово зуово;Гей знакомства;Ищу переодивашку поблизости Орехово зуево.пиши на почту.все обсудим.сам не урод  опыт встреч небольшой но есть.;Уни, Др. роль;;;1;2;1
Любящие женское белье;Гей знакомства;Хочу найти молодого парня, любящего переодеваться в женское белье. Пишите, отвечу всем. Самому 18 лет, чистоплотный и исключительно актив;Актив;;;1;2;1
. Би универсал познакомлюсь мж или м би уни;Гей знакомства;Мне 28 лет рост182 вес85 би универсал, здоровый, чистоплотный с чувством юмора, пишите ...........................;Актив, Пассив, Уни;files/tb_5bb6d515d6706b99fa3d7648b083fbe3_7_1.jpeg;files/tb_5bb6d515d6706b99fa3d7648b083fbe3_7_2.jpeg,files/tb_5bb6d515d6706b99fa3d7648b083fbe3_7_3.png;1;2;1
Ищу друга за 50;Гей знакомства;Я женатый Москвич 52.187.115.15 уни пасс ищу друга за 50 акта или уни.здорового и чистоплотного,нацианальность не имеет значения.;Актив, Уни;;;1;2;1
Взаимный дроч в Реале,Подмосковье Алабино Селятино;Гей знакомства;Ищу для взаимного дроча в Реале Подмосковье киевское направление,Селятино Алабино Калининец Апрелевка и рядом,писать в скайп или вк chel12sm;Актив;;;1;2;1
Ищу фтм;Гей знакомства;Ищу фтм транса,  я взрослый русский ухоженный мужчина, ,  сценарии встречи разные.  45.167.75,  сам териториально Химки Ховрино.;Актив;;;1;2;1
Би куколд готов встериться в машине;Гей знакомства;Приветик, меня зовут Вова, мне 49 лет. Готов поспать в машине или у тебя. Ищу своего Господина, чтобы достать удовольствие;Уни, Актив, Пассив;files/tb_8bf26a15952a356a5d25c0740c565073_7_1.jpeg;;1;2;1
Хочешь одеться, как девочка и поласкать меня;Гей знакомства;Приеду к тебе домой на авто. Хочешь одеться как сладкая девочка и поласкать меня? <br />В чулочках, туфельках на шпильке, белье и коротенькой юбочке. Опуститься на колени, обхватить мой член сладкими накрашенными губками и ласкать его, пока я не кончу тебе в ротик. Могу подъехать на авто. Я высокий, симпатичный, стройный, актив 185.17х4,5 пиши на kores6@yandex.ru;Актив;;;1;2;1
